depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_6,lineage_4,GSN,OLIG2,ANXA6,NOTCH3,ERBB2,TP53,CDKN2A,ACTN4,MMP1,CLDN1,STAT3,EGFR,CD44,IDH2,RHOA,PGR,EPCAM,CDC42,NF1,VEGFD,PFN1,MMP2,CFL1,CEACAM5,SMAD4,CLDN7,ANXA2,BRCA1,VIM,VEGFC,ESR1,FSCN1,YAP1,BMI1,MMP9,MYH9,BRCA2,IDH1,LGALS1,CDH1,CD24,BCAR3,ALDH2,FLT4,ECM1,NANOG,PTEN,RAC1,PROM1,LGR5,S100A4,SOX2,EZR,TAGLN,MKI67,POU5F1,MTDH
ACH-000857,CAL851,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,basal TNBC,,7.0096656578,0.007315726,2.3952567719,4.2879235341,5.0107742125,5.5586109824,7.6879342858,7.55360918,0.7881878347,6.4914125987,6.0996096296,4.448378644,8.1897654339,6.9398860979,7.9548807583,-0.0029912554,7.8336942509,7.1463342207,2.9868181242,0.0809357458,10.95604969,3.250657724,10.2464875188,0.2289781277,3.4443089402,7.7577399259,10.4264090636,2.0029601162,3.5940155353,3.6430374929,0.7944609911,4.5177402387,5.2575363821,3.7636190735,2.2970136284,6.0799793388,1.3223799519,6.9599709032,10.8056104291,6.8792323733,8.3284113052,5.4999505408,4.2020642055,0.0526289564,3.1366454985,-0.0346086072,3.9987029839,7.3330018799,3.7738043208,0.0151792774,7.37699926,-0.0185519923,6.4881914509,6.8794197306,4.6166877959,1.1560099019,4.6643656891
ACH-000783,CAMA1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,"luminal ER+, PR+, HER2+",,5.7523292905,0.0220063236,7.9785995991,5.0618430562,5.9127532711,5.4197850087,5.139729284,7.1747516644,0.965153142,0.5886142161,5.4873350508,-0.0769303642,2.0925090494,7.0789206335,7.960711655,2.9207809312,6.9170491014,8.0743849302,4.1137599509,-0.0003261245,9.0023268881,0.8664268494,11.1374228044,0.1386560877,4.4213056101,6.1723824571,9.621618231,4.6456338602,2.1838980302,1.1582344169,4.2630766875,1.5123497986,5.0583277847,5.7862859191,0.1043544574,7.4900975312,2.7678310929,5.1517406472,11.1524906997,4.8703424601,8.4876669601,6.2814666346,7.1998157957,2.4187901625,0.857164043,0.5818375361,4.3561849971,7.5459443194,0.3449324783,0.0015342959,5.940945548,0.5144784871,7.0822296541,0.8632068589,5.2394270355,0.2208007102,6.3711610554
ACH-003438,CCLFNEURO0005T,CNS/Brain,Diffuse Glioma,Glioblastoma,,,4.7048130248,0.0302571252,7.7808787582,2.2177542984,4.2704320631,5.2897294675,0.3671218439,7.8668962412,1.950902801,4.8831861801,6.3640568082,4.4061803458,8.5081442316,6.7592422687,9.4214283416,0.0030895255,2.0027813358,7.7786462759,2.0551957457,0.6238560237,10.4897518475,6.4547719601,10.5320540401,2.0745470425,5.5548168735,3.1730085256,12.1613557581,5.3440254371,10.0319315288,1.9235960728,0.1644953217,6.2383453182,6.4449566366,5.0196984446,0.2916096731,8.3529528307,3.1628553041,6.0593457474,11.915811962,1.1540838926,6.5348326904,6.1159501059,5.7409215126,0.1001652789,3.6359008067,-0.0083056744,3.3462963611,7.8706290898,2.6628989163,0.2223319274,5.6442792866,5.6726543861,7.3360454212,6.3565393651,6.1120600079,0.426340407,6.5066056294
ACH-002409,CCLFNEURO0006T,CNS/Brain,Diffuse Glioma,Glioblastoma,,,5.6749481014,0.2668406521,4.7854872163,5.1366819678,1.6210684833,4.6358688423,0.3092858656,8.2771053757,5.4811153206,0.5036943329,4.955604189,3.0105682437,7.6071425039,5.2318050582,9.2372875796,0.0030895255,1.6132081315,7.7381772024,2.7762379271,0.0598266073,9.4132760315,7.0886222296,9.5480451328,1.2721527835,4.7682566033,1.6776046594,9.9477530068,4.0670202803,10.2272349193,3.6207715869,0.1644953217,6.7778368068,4.924738337,4.9751229966,3.2332328022,6.776096717,1.8255291605,5.6164089096,11.4566105314,0.5867782284,6.4016518844,4.063479946,4.8259839064,0.0364293262,4.4290666232,-0.0083056744,3.3637008074,7.8174882057,0.7572533182,0.0371158874,6.6121645402,2.6385650238,6.5375208514,4.1438956241,4.367482151,0.3159915822,5.2946075773
ACH-003433,CCLFPANC0019T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,,5.1592730986,-0.0110509304,3.1576108798,1.4907424101,6.1519376597,5.3290363712,0.2183052068,9.0335959809,0.8866388171,7.2129994731,4.9745396807,4.4010806968,6.3374433956,4.2144592655,8.0257646494,0.0030895255,10.0312129328,7.7694316625,4.1178312318,0.2064942834,9.7670393589,-0.2095205604,9.5237410324,9.3459685861,0.3499471005,8.9655984187,10.8719653303,2.7692282431,4.4962921437,2.0139915365,0.0843138961,5.0665606353,5.1986755441,4.6139966644,0.0336433545,6.8927128381,1.375836947,8.0316186111,6.8103125469,8.0066095811,5.8551779623,4.8872815561,7.3787282643,0.0525991958,1.7433076871,0.0010127211,4.1781065527,7.7195438395,1.6981221809,1.3447918495,10.2202746702,1.6705581742,7.3178447079,2.0207629773,3.2385734563,1.4841514355,5.4100413126
ACH-000025,CH157MN,CNS/Brain,Meningothelial Tumor,Meningioma,,,4.9732993704,0.007315726,7.6130420293,0.1906953358,0.6170602229,3.1019087348,0.0098491248,7.4669309971,1.3910152208,4.5130064478,4.7733521996,4.1905200077,9.9074647512,2.5680984069,8.843416398,0.0104927311,-0.2107805275,7.9826402661,3.7559886074,-0.0339302845,11.1451685448,7.8061965233,10.326706986,-0.0751362862,3.6659384202,1.2076016276,10.8538566552,3.951124789,12.2874319779,4.8169137947,0.0237051468,5.3940980467,5.5596675696,4.7806556763,1.8293896691,7.5768342885,2.948427394,6.3576059286,12.2103684021,-0.2138828809,0.0095142575,6.4254588245,3.8081449403,-0.0259348362,2.7046917433,0.0241671899,2.9368618485,7.2505700394,0.0211900282,0.1934237164,6.6016683857,-0.0323633246,6.036560894,2.7952861575,5.4588740308,-0.1298932804,6.9563779364
ACH-001028,CHLA06ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,7.745176093,0.0028545322,4.9199069076,2.6304240473,3.2576635107,5.0318417571,2.8857542521,5.4059579726,0.6748010245,0.2789236854,3.02645813,4.2093709438,8.5408867618,4.4813077935,8.0697970454,0.0030895255,1.5726297835,7.4014060917,2.3584626908,0.0717675349,10.220713538,4.0091425293,9.1660170684,0.2375005268,3.0423746254,0.531188222,10.7867182747,3.0869491556,11.7399989737,0.3573912691,0.067801992,4.558735073,3.4886237871,3.5346821213,0.0499923285,5.1649436717,1.6313758294,6.3969248011,11.806268225,0.4921062698,1.0452382155,4.0429196554,4.1665435113,0.8987312684,1.5343807223,0.0102393084,3.3448370404,6.3762090804,0.0573055261,5.3966978595,11.2643223508,0.1369887265,5.6558642221,7.2313577952,2.8471576336,0.3159915822,4.3462682586
ACH-001031,CHLA266,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,3.9264909114,-0.0110509304,2.2971660834,4.7409481214,5.5568263482,5.6261721757,2.8222507799,6.7411187957,0.2741513279,0.2377444255,6.2356027323,2.0489409026,5.2782149418,7.316440494,8.9515887532,0.0030895255,10.5458996863,7.8906281658,3.9393995323,0.129752404,10.333102827,-0.1836269635,10.4013133967,0.1931913537,5.0165634518,0.7410103869,9.2979239913,4.0883325335,11.436081814,0.3896068489,0.067801992,2.4582021158,6.0700799657,1.3546438216,0.1293825698,6.310154659,2.5862302779,6.7107069858,2.8871234676,3.877242214,1.1181498214,4.8477649299,4.9017825733,2.715596016,0.5461721775,0.0010127211,4.2363637063,7.4825699461,-0.0153546952,0.0521952245,9.5981262671,7.3401948777,8.6842604173,4.6679218882,5.5019820944,0.3159915822,5.68448497
ACH-001820,COLO824,Breast,"Breast Neoplasm, NOS","Breast Neoplasm, NOS",HER2+,,5.1817368793,0.3979511865,3.6845279365,3.1324292768,7.2997262349,3.1941009577,6.2876195097,8.9483588245,0.2062021356,0.5491569324,5.4749981546,4.0254191699,9.4384346774,8.5038413,9.053571301,0.0030895255,10.013691772,8.1872155089,4.7162319691,0.1068935544,9.7177098243,-0.235926935,9.8559368669,0.1781286556,6.0009519644,7.4696710356,9.105117114,4.8250722477,6.935940221,0.160115767,1.1674880639,2.6246961798,6.0107507951,4.7799131887,0.0499923285,7.6225346295,3.6647495937,7.4150325616,1.5788938508,7.7292184882,11.3773964325,4.1656015559,5.4585001809,0.0364293262,0.2958636066,-0.0083056744,3.8886379851,7.8120871209,0.8517035833,0.0521952245,0.5007538442,1.0469504687,6.3082279122,1.4895597851,6.2301840411,1.0252304455,6.2511842018
ACH-001053,D425,CNS/Brain,Embryonal Tumor,Medulloblastoma,MYC Amplified,,4.071000442,2.4261236144,5.0221265095,0.651450125,3.8524601798,4.0743570853,1.2039684711,6.5406593488,0.2473681528,0.6464212606,3.8932326218,0.2689883416,0.3699299151,4.2091589474,7.8020624112,0.0506194594,0.8883529569,6.1467359059,4.2968087771,1.2202587838,6.764363817,8.0619289347,7.8352628481,0.1781286556,5.2223716694,0.7889371941,1.1274011717,3.9142554449,6.7301540528,3.799258694,0.0843138961,4.7740212991,4.8034939705,6.1152629485,0.4773136939,4.2616694452,2.6210836914,5.8200106299,3.8054583396,1.034054447,0.8655199184,0.578974345,5.894347828,0.305399969,0.7799826951,-0.0083056744,3.9916349982,5.9203397738,4.8171270112,0.111055472,2.9563207074,0.1369887265,6.7716901777,3.2359707942,5.7573580854,0.426340407,6.7725394678
ACH-001054,D458,CNS/Brain,Embryonal Tumor,Medulloblastoma,MYC Amplified,,3.5334530513,2.6366523749,6.3310541931,0.4646911883,2.7188834582,4.3756527275,1.2610492412,7.0523333283,0.2873522057,0.3450093215,3.0640043321,0.2544673456,0.3342809017,5.1065515336,8.1812095847,0.0349317348,0.7919932614,6.6041791873,3.5253561991,2.0543516644,8.1776338895,5.4439376242,9.1165565092,0.1781286556,4.3789710783,0.8352923441,5.6159757035,4.5114701802,7.7695738058,1.5993180062,0.067801992,6.9713272014,4.5889107587,5.8077058461,0.7107635527,4.2518278626,2.7179177655,7.8018645175,4.7730011237,0.4351037903,0.8111300463,0.3116447262,6.9627237297,0.0525991958,0.1392539835,-0.0083056744,3.3448370404,6.764858206,5.0055036439,0.0965533435,3.4336104259,0.1225763887,5.9233128844,1.3961038743,5.1298818626,1.9490682642,5.5170228021
ACH-000330,EFM19,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,"luminal ER+, PR+, HER2+",,6.1192954577,0.0220063236,7.0609306818,4.909626711,6.9146731206,5.0858530333,0.2042322234,6.953723036,0.0655585862,0.673933281,6.0307027917,-0.0636120327,3.9687616194,7.1296974975,8.4865292813,3.8577331168,6.8680620065,7.0566341297,4.1587029148,-0.0509802733,9.4531069905,0.5165192639,9.8367223347,0.2398692791,3.8460511943,6.9270197391,8.3691291337,3.4575437365,2.7842536489,0.0805049448,5.0822271146,2.7847005033,4.3041605855,6.4530169847,0.4656445358,6.0215115221,3.0213470572,4.8882505361,8.5816703231,6.6568342646,10.3691120913,5.1278647575,5.3117207734,-0.0259348362,0.7110193889,0.0241671899,4.5588484681,7.1958307199,1.5070132815,0.0151792774,5.2367577003,0.3857895454,6.821137525,3.0713529686,5.1386829183,0.2554090809,6.0984889196
